Gender0Female,Gender1Male,Gender0None,Place,Year,NumberOfAuthors,Conference,Gender1Female,Gender0Male,Gender3,Gender4,Gender5,Gender6,Gender7,Gender8,Gender9,Gender10,Gender11,Gender10,Gender13,Gender14,Gender15,Gender16,Gender17
0,1,0,Italy,5,3,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,6,SMC,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Italy,5,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Italy,5,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Italy,5,4,SMC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Italy,5,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Italy,5,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,4,SMC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,France,6,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,4,SMC,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,5,SMC,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,France,6,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,France,6,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,France,6,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Greece,7,0,SMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,4,SMC,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,0,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,3,SMC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,Greece,7,1,SMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
